area_name,indicator,date,measure,unit,value,group
Trafford,Google community mobility trends,2020-03-31,Percentage change from baseline,Visits and length of stay,-0.77,Retail & recreation
Trafford,Google community mobility trends,2020-03-31,Percentage change from baseline,Visits and length of stay,-0.31,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-31,Percentage change from baseline,Visits and length of stay,-0.44,Parks*
Trafford,Google community mobility trends,2020-04-01,Percentage change from baseline,Visits and length of stay,-0.79,Retail & recreation
Trafford,Google community mobility trends,2020-04-01,Percentage change from baseline,Visits and length of stay,-0.33,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-01,Percentage change from baseline,Visits and length of stay,-0.59,Parks*
Trafford,Google community mobility trends,2020-04-02,Percentage change from baseline,Visits and length of stay,-0.78,Retail & recreation
Trafford,Google community mobility trends,2020-04-02,Percentage change from baseline,Visits and length of stay,-0.34,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-02,Percentage change from baseline,Visits and length of stay,-0.53,Parks*
Trafford,Google community mobility trends,2020-04-03,Percentage change from baseline,Visits and length of stay,-0.8,Retail & recreation
Trafford,Google community mobility trends,2020-04-03,Percentage change from baseline,Visits and length of stay,-0.31,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-03,Percentage change from baseline,Visits and length of stay,-0.46,Parks*
Trafford,Google community mobility trends,2020-04-04,Percentage change from baseline,Visits and length of stay,-0.86,Retail & recreation
Trafford,Google community mobility trends,2020-04-04,Percentage change from baseline,Visits and length of stay,-0.37,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-04,Percentage change from baseline,Visits and length of stay,-0.68,Parks*
Trafford,Google community mobility trends,2020-04-05,Percentage change from baseline,Visits and length of stay,-0.87,Retail & recreation
Trafford,Google community mobility trends,2020-04-05,Percentage change from baseline,Visits and length of stay,-0.44,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-05,Percentage change from baseline,Visits and length of stay,-0.54,Parks*
Trafford,Google community mobility trends,2020-04-06,Percentage change from baseline,Visits and length of stay,-0.76,Retail & recreation
Trafford,Google community mobility trends,2020-04-06,Percentage change from baseline,Visits and length of stay,-0.32,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-06,Percentage change from baseline,Visits and length of stay,-0.44,Parks*
Trafford,Google community mobility trends,2020-04-07,Percentage change from baseline,Visits and length of stay,-0.76,Retail & recreation
Trafford,Google community mobility trends,2020-04-07,Percentage change from baseline,Visits and length of stay,-0.28,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-07,Percentage change from baseline,Visits and length of stay,-0.27,Parks*
Trafford,Google community mobility trends,2020-04-08,Percentage change from baseline,Visits and length of stay,-0.78,Retail & recreation
Trafford,Google community mobility trends,2020-04-08,Percentage change from baseline,Visits and length of stay,-0.27,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-08,Percentage change from baseline,Visits and length of stay,-0.45,Parks*
Trafford,Google community mobility trends,2020-04-09,Percentage change from baseline,Visits and length of stay,-0.73,Retail & recreation
Trafford,Google community mobility trends,2020-04-09,Percentage change from baseline,Visits and length of stay,-0.2,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-09,Percentage change from baseline,Visits and length of stay,-0.46,Parks*
Trafford,Google community mobility trends,2020-04-10,Percentage change from baseline,Visits and length of stay,-0.82,Retail & recreation
Trafford,Google community mobility trends,2020-04-10,Percentage change from baseline,Visits and length of stay,-0.35,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-10,Percentage change from baseline,Visits and length of stay,-0.42,Parks*
Trafford,Google community mobility trends,2020-04-11,Percentage change from baseline,Visits and length of stay,-0.85,Retail & recreation
Trafford,Google community mobility trends,2020-04-11,Percentage change from baseline,Visits and length of stay,-0.33,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-11,Percentage change from baseline,Visits and length of stay,-0.61,Parks*
Trafford,Google community mobility trends,2020-04-12,Percentage change from baseline,Visits and length of stay,-0.94,Retail & recreation
Trafford,Google community mobility trends,2020-04-12,Percentage change from baseline,Visits and length of stay,-0.69,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-12,Percentage change from baseline,Visits and length of stay,-0.59,Parks*
Trafford,Google community mobility trends,2020-04-13,Percentage change from baseline,Visits and length of stay,-0.8,Retail & recreation
Trafford,Google community mobility trends,2020-04-13,Percentage change from baseline,Visits and length of stay,-0.39,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-13,Percentage change from baseline,Visits and length of stay,-0.27,Parks*
Trafford,Google community mobility trends,2020-04-14,Percentage change from baseline,Visits and length of stay,-0.74,Retail & recreation
Trafford,Google community mobility trends,2020-04-14,Percentage change from baseline,Visits and length of stay,-0.26,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-14,Percentage change from baseline,Visits and length of stay,-0.31,Parks*
Trafford,Google community mobility trends,2020-04-15,Percentage change from baseline,Visits and length of stay,-0.77,Retail & recreation
Trafford,Google community mobility trends,2020-04-15,Percentage change from baseline,Visits and length of stay,-0.27,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-15,Percentage change from baseline,Visits and length of stay,-0.38,Parks*
Trafford,Google community mobility trends,2020-04-16,Percentage change from baseline,Visits and length of stay,-0.75,Retail & recreation
Trafford,Google community mobility trends,2020-04-16,Percentage change from baseline,Visits and length of stay,-0.28,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-16,Percentage change from baseline,Visits and length of stay,-0.36,Parks*
Trafford,Google community mobility trends,2020-04-17,Percentage change from baseline,Visits and length of stay,-0.78,Retail & recreation
Trafford,Google community mobility trends,2020-04-17,Percentage change from baseline,Visits and length of stay,-0.32,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-17,Percentage change from baseline,Visits and length of stay,-0.42,Parks*
Trafford,Google community mobility trends,2020-04-18,Percentage change from baseline,Visits and length of stay,-0.85,Retail & recreation
Trafford,Google community mobility trends,2020-04-18,Percentage change from baseline,Visits and length of stay,-0.39,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-18,Percentage change from baseline,Visits and length of stay,-0.73,Parks*
Trafford,Google community mobility trends,2020-04-19,Percentage change from baseline,Visits and length of stay,-0.84,Retail & recreation
Trafford,Google community mobility trends,2020-04-19,Percentage change from baseline,Visits and length of stay,-0.41,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-19,Percentage change from baseline,Visits and length of stay,-0.4,Parks*
